0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.232,0.182,0.482,0.360,-0.157,0.199,-0.257,0.543
0.394,0.131,0.555,0.558,0.203,0.484,-0.046,0.634
0.479,0.313,0.553,0.499,0.117,0.318,-0.047,0.614
0.569,0.518,0.680,0.743,0.127,0.445,0.162,0.861
0.492,0.426,0.708,0.620,0.250,0.534,0.207,0.820
0.232,0.096,0.415,0.349,-0.264,0.149,-0.132,0.451
0.080,0.151,0.316,0.334,-0.160,0.248,-0.369,0.423
-0.392,-0.445,-0.129,-0.171,-0.686,-0.321,-0.871,-0.040
-0.381,-0.410,-0.131,-0.234,-0.674,-0.254,-0.844,-0.133
-0.125,-0.106,0.063,0.018,-0.342,-0.103,-0.566,0.183
0.191,0.073,0.256,0.118,-0.249,0.080,-0.352,0.336
-0.010,0.071,0.290,0.225,-0.102,-0.012,-0.315,0.422
0.103,-0.118,0.283,0.257,-0.207,0.048,-0.282,0.370
-0.045,-0.185,0.239,0.106,-0.328,0.013,-0.494,0.048
-0.162,-0.278,0.210,0.069,-0.558,-0.127,-0.681,0.167
-0.096,-0.124,0.160,0.213,-0.320,0.045,-0.531,0.208
0.129,0.048,0.212,0.276,-0.167,0.196,-0.332,0.390
0.272,0.187,0.559,0.432,-0.052,0.463,-0.184,0.618
0.263,0.165,0.536,0.434,0.012,0.352,-0.133,0.602
0.330,0.234,0.489,0.468,0.040,0.286,-0.202,0.613
0.161,0.045,0.270,0.269,-0.181,0.038,-0.311,0.376
0.339,0.236,0.562,0.465,0.069,0.332,-0.084,0.660
0.195,0.128,0.550,0.459,-0.082,0.334,-0.071,0.498
0.072,-0.074,0.256,0.131,-0.293,-0.046,-0.410,0.226
-0.008,0.106,0.304,0.256,-0.183,0.080,-0.377,0.418
0.159,0.149,0.305,0.397,-0.288,0.146,-0.283,0.401
0.426,0.226,0.590,0.501,0.001,0.448,-0.113,0.525
0.164,0.104,0.365,0.184,-0.123,0.283,-0.191,0.328
0.560,0.443,0.751,0.790,0.364,0.620,0.150,0.787
0.654,0.638,0.808,0.743,0.279,0.690,0.097,0.879
0.457,0.383,0.676,0.630,0.136,0.503,0.045,0.724
0.059,-0.046,0.260,0.145,-0.135,0.084,-0.369,0.409
-0.104,-0.182,0.154,0.025,-0.327,-0.092,-0.546,0.133
0.272,0.040,0.438,0.367,-0.079,0.265,-0.243,0.548
0.200,0.327,0.523,0.499,0.104,0.300,-0.132,0.513
0.047,0.132,0.323,0.224,-0.145,0.198,-0.334,0.528
0.202,0.120,0.372,0.398,-0.028,0.231,-0.194,0.552
0.245,0.183,0.426,0.464,-0.069,0.193,-0.136,0.561
-0.055,-0.015,0.265,0.145,-0.218,0.084,-0.480,0.183
-0.076,-0.245,0.233,0.056,-0.127,-0.013,-0.372,0.204
0.142,0.131,0.490,0.504,0.009,0.237,-0.159,0.528
0.428,0.538,0.626,0.645,0.202,0.379,0.068,0.756
0.297,0.355,0.716,0.590,0.198,0.403,0.052,0.775
0.239,0.385,0.525,0.490,0.078,0.336,0.063,0.621
0.396,0.338,0.572,0.458,0.061,0.366,-0.068,0.597
0.414,0.475,0.594,0.558,0.052,0.367,-0.026,0.619
0.540,0.530,0.836,0.838,0.304,0.635,0.234,0.935
0.498,0.682,0.877,0.984,0.479,0.726,0.210,0.919
0.398,0.520,0.807,0.704,0.174,0.622,0.066,0.841
0.219,0.159,0.532,0.468,-0.027,0.305,-0.060,0.580
0.024,-0.092,0.198,0.208,-0.207,0.115,-0.379,0.276
0.142,0.135,0.341,0.323,0.042,0.224,-0.385,0.504
0.233,0.150,0.469,0.471,0.046,0.322,-0.216,0.495
0.264,0.247,0.497,0.560,0.081,0.364,-0.114,0.614
0.265,0.240,0.586,0.504,0.063,0.435,0.046,0.580
0.281,0.276,0.516,0.451,0.049,0.339,-0.087,0.640
0.280,0.240,0.386,0.329,-0.013,0.244,-0.071,0.364
0.292,0.173,0.462,0.394,-0.024,0.400,-0.114,0.520
0.528,0.529,0.731,0.684,0.217,0.592,0.056,0.852
0.517,0.541,0.731,0.622,0.456,0.592,0.024,0.814
0.686,0.663,0.917,0.943,0.520,0.853,0.389,0.940
0.614,0.532,0.814,0.696,0.276,0.516,0.048,0.836
0.332,0.346,0.548,0.492,0.134,0.347,-0.074,0.554
0.517,0.332,0.671,0.682,0.233,0.479,0.087,0.767
0.413,0.265,0.600,0.456,0.050,0.415,0.086,0.626
0.465,0.195,0.594,0.465,0.262,0.379,-0.049,0.524
0.254,0.148,0.405,0.385,-0.010,0.184,-0.181,0.482
0.196,0.190,0.334,0.335,-0.150,0.206,-0.141,0.415
-0.011,-0.109,0.173,0.133,-0.190,0.016,-0.376,0.329
-0.016,-0.005,0.258,0.199,-0.162,-0.111,-0.480,0.298
-0.092,-0.291,0.119,0.064,-0.472,-0.135,-0.597,0.161
-0.245,-0.240,-0.060,0.011,-0.506,-0.215,-0.785,0.044
-0.146,-0.213,0.104,0.059,-0.358,-0.053,-0.500,0.120
-0.077,-0.121,0.220,0.023,-0.374,0.184,-0.375,0.193
-0.279,-0.549,-0.118,-0.182,-0.697,-0.265,-0.727,-0.044
-0.426,-0.486,-0.250,-0.201,-0.788,-0.321,-0.747,0.055
-0.459,-0.547,-0.251,-0.294,-0.715,-0.320,-0.732,-0.106
0.078,-0.086,0.262,0.155,-0.274,0.033,-0.422,0.303
-0.397,-0.350,-0.117,-0.128,-0.754,-0.317,-0.835,-0.117
-0.263,-0.122,0.040,-0.048,-0.324,-0.218,-0.676,0.042
-0.027,-0.085,0.127,0.108,-0.224,-0.017,-0.450,0.145
-0.161,-0.152,0.041,-0.047,-0.349,-0.209,-0.605,-0.004
-0.154,-0.139,0.160,0.024,-0.426,-0.060,-0.509,0.172
-0.110,-0.194,0.142,0.066,-0.307,-0.097,-0.565,0.099
