0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
0.775,-0.190,-0.307,-0.082,0.710,-0.827,0.816,-0.258,0.322,-0.028,0.724,-0.343
1.002,-0.223,-0.539,-0.185,0.607,-1.078,1.135,-0.485,0.415,-0.005,0.843,-0.679
1.104,-0.325,-0.496,-0.214,0.682,-1.555,1.446,-0.591,0.359,0.127,0.968,-0.872
1.234,-0.512,-0.502,-0.423,0.705,-1.590,1.490,-0.581,0.249,0.238,0.810,-1.096
1.190,-0.462,-0.450,-0.536,0.819,-1.855,1.372,-0.495,0.422,0.434,0.724,-1.538
1.242,-0.443,-0.452,-1.052,1.154,-2.036,1.542,-0.567,0.228,0.291,0.767,-1.369
1.460,-0.599,-0.662,-1.098,1.114,-2.216,1.634,-0.612,0.242,-0.088,1.083,-1.490
1.443,-0.581,-0.546,-1.505,1.241,-2.164,1.842,-0.841,0.188,-0.051,1.104,-1.160
1.765,-0.883,-0.712,-0.954,0.812,-2.093,1.913,-0.792,0.170,0.143,1.039,-1.133
1.640,-0.858,-0.679,-0.833,0.736,-2.038,1.817,-0.680,0.162,0.200,1.062,-1.467
1.518,-0.749,-0.617,-0.651,0.536,-1.795,1.849,-0.564,0.062,-0.035,1.309,-1.618
1.407,-0.595,-0.446,-0.573,0.497,-1.867,1.531,-0.413,0.105,-0.188,1.507,-1.508
1.624,-0.642,-0.615,-0.442,0.194,-1.983,1.825,-0.656,0.012,-0.327,1.379,-1.317
1.563,-0.540,-0.663,-0.882,0.649,-2.194,1.442,-0.504,0.318,0.039,1.119,-1.429
1.630,-0.620,-0.755,-1.094,0.995,-2.165,1.324,-0.371,0.439,-0.279,1.382,-2.079
1.588,-0.697,-0.727,-1.069,0.857,-2.102,1.281,-0.354,0.462,-0.431,1.371,-1.894
1.406,-0.482,-0.556,-1.092,1.089,-2.235,1.457,-0.400,0.318,-0.548,1.641,-1.821
1.431,-0.589,-0.563,-0.906,0.699,-2.024,1.656,-0.519,0.195,-0.672,1.706,-1.691
1.535,-0.664,-0.619,-1.273,0.732,-1.971,1.723,-0.667,0.172,-1.086,2.181,-1.956
1.493,-0.521,-0.546,-0.934,0.078,-1.775,1.729,-0.810,0.149,-0.907,2.164,-2.219
1.399,-0.593,-0.485,-1.630,0.870,-2.555,1.791,-0.758,0.018,-0.845,2.115,-2.086
1.331,-0.467,-0.577,-1.679,0.940,-2.353,1.783,-0.631,-0.045,-0.335,1.532,-1.737
1.375,-0.330,-0.654,-1.562,0.957,-2.158,1.770,-0.614,0.046,-0.113,1.311,-1.601
1.363,-0.338,-0.685,-1.506,0.889,-2.337,1.618,-0.560,0.267,0.078,1.246,-1.493
1.338,-0.281,-0.624,-1.498,1.255,-2.575,1.828,-0.656,0.122,-0.048,1.250,-1.706
1.425,-0.401,-0.630,-1.617,1.079,-2.352,1.736,-0.670,0.176,-0.040,1.251,-1.879
1.576,-0.469,-0.531,-1.709,0.952,-2.318,1.673,-0.652,0.122,-0.024,1.285,-1.595
1.379,-0.339,-0.421,-1.524,1.041,-2.635,1.732,-0.677,0.016,0.214,0.918,-1.576
1.439,-0.444,-0.352,-1.198,0.574,-2.082,1.565,-0.492,0.086,-0.120,1.202,-1.676
1.420,-0.498,-0.497,-0.979,0.422,-2.241,1.713,-0.544,-0.065,-0.223,1.194,-1.339
1.569,-0.657,-0.533,-0.667,0.168,-2.074,1.881,-0.772,-0.014,0.090,0.938,-1.282
1.427,-0.479,-0.447,-0.915,0.520,-2.135,1.748,-0.690,-0.001,-0.074,1.242,-1.392
1.432,-0.546,-0.523,-1.130,0.670,-2.344,1.712,-0.554,0.089,0.005,1.071,-1.459
1.637,-0.695,-0.540,-1.335,0.643,-2.135,1.805,-0.736,0.047,-0.108,1.098,-1.314
1.717,-0.754,-0.665,-1.303,0.829,-2.244,2.071,-0.953,-0.083,-0.342,1.407,-1.562
1.339,-0.456,-0.408,-1.071,0.987,-2.449,2.146,-0.885,0.006,-0.188,1.270,-1.338
1.193,-0.322,-0.404,-1.370,1.168,-2.825,2.095,-0.883,0.135,-0.204,1.182,-1.305
1.466,-0.485,-0.560,-1.107,0.569,-2.617,1.889,-0.872,0.251,0.190,0.976,-1.016
1.787,-0.831,-0.649,-0.962,0.409,-1.887,1.739,-0.716,0.219,0.440,0.871,-1.639
1.768,-0.629,-0.691,-1.069,0.921,-2.350,2.050,-1.061,0.044,0.302,0.766,-1.570
1.499,-0.398,-0.652,-1.257,0.772,-1.897,2.311,-1.141,-0.104,0.082,0.850,-1.505
1.476,-0.456,-0.537,-0.979,0.498,-1.866,2.019,-0.829,-0.019,0.222,0.822,-1.420
1.368,-0.542,-0.533,-0.913,0.441,-1.986,1.886,-0.830,0.128,0.048,1.090,-1.677
1.322,-0.375,-0.610,-1.166,0.808,-1.919,1.843,-0.777,0.293,-0.436,1.521,-1.868
1.461,-0.486,-0.656,-1.407,0.886,-2.040,1.803,-0.808,0.239,-0.130,1.220,-1.730
1.332,-0.410,-0.528,-0.798,0.609,-2.108,1.906,-0.846,0.220,0.077,0.956,-1.810
1.335,-0.437,-0.611,-0.977,0.395,-2.135,2.021,-0.922,0.084,0.204,0.906,-1.934
1.433,-0.517,-0.533,-0.908,0.880,-2.092,1.844,-0.781,0.198,0.335,0.821,-2.106
1.480,-0.647,-0.534,-0.752,0.607,-2.087,1.965,-0.932,0.043,0.438,0.731,-2.123
1.270,-0.546,-0.390,-0.960,0.602,-2.057,1.857,-0.766,0.054,0.068,1.157,-1.787
1.429,-0.512,-0.675,-0.865,0.762,-2.160,1.956,-0.733,0.001,0.119,1.135,-1.826
1.417,-0.544,-0.542,-1.269,0.998,-2.228,1.730,-0.605,0.263,0.016,1.253,-1.428
1.508,-0.488,-0.580,-1.331,0.569,-1.796,1.784,-0.637,0.137,0.013,1.080,-1.254
1.549,-0.627,-0.668,-1.124,0.524,-1.965,1.659,-0.624,0.217,-0.002,1.014,-1.463
1.551,-0.609,-0.702,-1.134,0.521,-1.731,1.579,-0.539,0.079,0.307,0.826,-1.656
1.341,-0.451,-0.655,-0.819,0.567,-2.076,1.702,-0.548,0.062,0.117,0.931,-1.570
1.459,-0.553,-0.619,-0.622,0.548,-2.201,1.599,-0.497,0.163,0.144,1.015,-1.769
1.474,-0.372,-0.576,-1.062,0.851,-2.955,1.348,-0.258,0.145,0.235,1.017,-1.627
1.471,-0.455,-0.771,-1.195,1.082,-3.048,1.590,-0.393,0.102,-0.089,1.275,-1.452
1.467,-0.362,-0.744,-1.597,1.388,-2.788,1.570,-0.573,0.314,-0.521,1.585,-1.677
1.297,-0.242,-0.535,-1.055,0.751,-2.465,1.588,-0.597,0.158,-0.304,1.398,-1.517
1.474,-0.373,-0.621,-1.095,0.439,-2.038,1.732,-0.704,0.155,0.010,1.072,-1.555
1.521,-0.319,-0.570,-0.959,0.558,-2.320,1.818,-0.795,0.006,0.066,0.956,-1.612
1.388,-0.263,-0.526,-0.854,0.074,-1.775,1.814,-0.753,0.103,0.230,0.979,-1.929
1.488,-0.372,-0.747,-1.083,0.416,-1.782,1.639,-0.525,0.099,0.374,0.857,-1.642
1.564,-0.457,-0.689,-1.448,0.349,-1.643,1.756,-0.655,0.087,-0.072,1.233,-1.491
1.403,-0.347,-0.561,-1.200,0.022,-1.390,1.700,-0.522,0.091,-0.316,1.485,-1.371
1.473,-0.468,-0.627,-0.907,0.379,-1.614,1.573,-0.442,0.096,-0.351,1.512,-1.442
1.761,-0.765,-0.815,-1.041,0.416,-1.569,1.724,-0.566,0.001,-0.175,1.405,-1.360
1.755,-0.779,-0.709,-1.127,0.564,-1.629,1.888,-0.603,-0.112,0.014,1.210,-1.568
1.623,-0.598,-0.631,-0.666,0.285,-1.905,2.251,-0.746,-0.377,0.200,1.038,-1.521
1.777,-0.832,-0.741,-0.583,0.155,-2.097,2.221,-0.759,-0.318,0.204,1.044,-1.642
1.698,-0.815,-0.717,-0.749,0.186,-2.325,2.163,-0.739,-0.356,0.258,0.962,-1.658
1.993,-0.983,-0.908,-0.587,0.164,-2.345,2.022,-0.643,-0.216,0.149,1.018,-1.406
2.133,-1.186,-1.024,-0.757,0.372,-2.098,2.125,-0.929,-0.139,0.093,1.127,-1.527
2.077,-1.098,-0.784,-0.854,0.418,-2.031,2.102,-0.908,-0.005,-0.140,1.311,-1.371
