0.167,0.167,0.167,0.167,0.167,0.167
0.172,0.226,0.100,0.241,0.133,0.128
0.167,0.251,0.084,0.234,0.138,0.127
0.182,0.248,0.091,0.223,0.143,0.113
0.196,0.227,0.080,0.238,0.129,0.129
0.193,0.233,0.079,0.234,0.135,0.126
0.189,0.245,0.078,0.232,0.130,0.126
0.200,0.228,0.080,0.226,0.122,0.144
0.190,0.247,0.070,0.237,0.126,0.129
0.178,0.238,0.074,0.254,0.122,0.133
0.209,0.208,0.084,0.245,0.121,0.133
0.178,0.245,0.088,0.252,0.122,0.114
0.185,0.239,0.070,0.257,0.127,0.121
0.183,0.233,0.066,0.254,0.126,0.137
0.196,0.250,0.078,0.233,0.120,0.122
0.188,0.229,0.075,0.262,0.106,0.140
0.186,0.211,0.084,0.267,0.112,0.141
0.181,0.238,0.078,0.242,0.126,0.135
0.171,0.236,0.086,0.261,0.111,0.135
0.189,0.229,0.080,0.255,0.113,0.135
0.182,0.236,0.084,0.238,0.118,0.141
0.175,0.248,0.082,0.238,0.121,0.136
0.174,0.231,0.080,0.261,0.116,0.137
0.176,0.229,0.082,0.260,0.113,0.140
0.175,0.238,0.083,0.267,0.110,0.126
0.168,0.245,0.074,0.271,0.120,0.121
0.164,0.232,0.079,0.287,0.105,0.134
0.176,0.238,0.079,0.264,0.112,0.131
0.172,0.230,0.087,0.272,0.101,0.138
0.188,0.232,0.081,0.270,0.108,0.120
0.169,0.238,0.081,0.270,0.113,0.131
0.191,0.242,0.074,0.238,0.121,0.133
0.186,0.240,0.084,0.252,0.110,0.128
0.165,0.236,0.086,0.275,0.116,0.122
0.144,0.249,0.076,0.266,0.133,0.132
0.161,0.229,0.074,0.289,0.116,0.131
0.166,0.237,0.075,0.283,0.113,0.127
0.163,0.246,0.076,0.274,0.109,0.132
0.183,0.259,0.079,0.259,0.099,0.121
0.174,0.254,0.075,0.268,0.108,0.122
0.175,0.255,0.084,0.244,0.104,0.137
0.170,0.220,0.076,0.277,0.118,0.139
0.180,0.263,0.077,0.244,0.116,0.120
0.187,0.233,0.082,0.270,0.113,0.114
0.181,0.260,0.077,0.260,0.111,0.111
0.201,0.258,0.065,0.261,0.104,0.111
0.188,0.259,0.072,0.268,0.103,0.110
0.177,0.234,0.080,0.279,0.110,0.120
0.171,0.261,0.072,0.262,0.116,0.119
0.176,0.249,0.079,0.256,0.119,0.120
0.172,0.249,0.077,0.276,0.105,0.122
0.186,0.241,0.071,0.266,0.121,0.114
0.177,0.245,0.077,0.270,0.114,0.116
0.189,0.236,0.077,0.286,0.115,0.097
0.174,0.238,0.073,0.295,0.101,0.119
0.187,0.244,0.079,0.239,0.113,0.137
0.186,0.255,0.072,0.256,0.110,0.121
0.185,0.248,0.075,0.269,0.109,0.113
0.162,0.247,0.080,0.279,0.107,0.124
0.172,0.252,0.070,0.241,0.117,0.148
0.177,0.251,0.072,0.242,0.118,0.140
0.189,0.250,0.074,0.248,0.128,0.110
0.181,0.250,0.068,0.263,0.109,0.129
0.177,0.224,0.067,0.290,0.131,0.111
0.198,0.225,0.077,0.279,0.109,0.113
0.201,0.250,0.075,0.244,0.112,0.118
0.182,0.248,0.080,0.275,0.104,0.111
0.197,0.251,0.070,0.249,0.110,0.123
0.184,0.264,0.058,0.268,0.104,0.121
0.194,0.247,0.064,0.253,0.123,0.120
0.190,0.241,0.069,0.276,0.113,0.110
0.176,0.250,0.069,0.271,0.114,0.119
0.185,0.245,0.075,0.275,0.097,0.122
0.182,0.255,0.072,0.269,0.104,0.118
0.184,0.254,0.073,0.262,0.115,0.111
0.194,0.253,0.073,0.264,0.103,0.113
0.181,0.239,0.069,0.271,0.115,0.125
0.175,0.251,0.078,0.264,0.121,0.111
0.170,0.236,0.082,0.285,0.110,0.117
0.186,0.244,0.078,0.269,0.106,0.117
0.175,0.244,0.078,0.257,0.109,0.138
0.187,0.240,0.083,0.251,0.108,0.130
0.179,0.254,0.079,0.249,0.117,0.122
0.181,0.261,0.078,0.270,0.107,0.103
0.186,0.243,0.076,0.268,0.122,0.105
0.179,0.245,0.080,0.264,0.113,0.119
0.167,0.271,0.073,0.259,0.106,0.124
0.191,0.232,0.082,0.269,0.113,0.114
0.169,0.254,0.076,0.277,0.103,0.121
0.186,0.253,0.076,0.272,0.103,0.110
0.167,0.256,0.078,0.298,0.106,0.095
0.181,0.238,0.078,0.270,0.122,0.112
0.201,0.240,0.067,0.267,0.114,0.112
0.194,0.251,0.083,0.267,0.103,0.102
0.187,0.253,0.077,0.266,0.103,0.114
0.185,0.230,0.080,0.277,0.113,0.115
0.167,0.241,0.076,0.283,0.113,0.121
0.169,0.241,0.080,0.267,0.111,0.132
0.175,0.251,0.077,0.268,0.110,0.118
0.190,0.243,0.080,0.276,0.103,0.108
0.171,0.269,0.072,0.259,0.112,0.117
0.181,0.270,0.060,0.247,0.119,0.125
0.179,0.255,0.070,0.271,0.116,0.108
0.173,0.245,0.081,0.276,0.125,0.101
0.189,0.238,0.073,0.270,0.112,0.118
0.176,0.251,0.066,0.278,0.118,0.111
0.170,0.261,0.069,0.274,0.119,0.107
