0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
0.160,0.248,0.470,0.072,0.356,0.426,0.247,0.372,-0.018,0.228,0.412,0.504,0.122,0.618,-0.046,0.083,0.234,0.718,0.137,0.410,-0.041,-0.217,0.624,0.635,0.312,0.138,0.298,0.247,0.459,0.361,0.136,0.411,0.319,0.055,0.456,0.588
0.246,0.397,0.594,0.708,0.100,0.169,-0.010,0.068,0.504,0.301,0.621,0.604,0.113,0.720,0.165,0.132,0.321,0.729,0.243,0.689,-0.293,-0.191,0.755,0.851,0.340,0.071,0.390,0.337,0.526,0.460,0.280,0.391,0.629,0.218,0.536,0.671
0.384,0.790,0.110,0.764,0.029,0.294,-0.031,0.483,0.234,0.546,0.454,0.702,0.263,0.818,0.156,0.254,0.385,0.710,0.140,0.776,-0.123,-0.147,0.814,0.864,0.213,0.269,0.626,0.435,0.556,0.470,0.212,0.400,0.789,0.622,0.309,0.666
0.535,0.669,0.164,0.936,0.250,0.139,0.088,0.558,0.179,0.511,0.633,0.701,0.259,0.949,0.255,0.298,0.381,0.638,0.232,0.646,-0.182,-0.037,0.773,0.972,0.159,0.277,0.755,0.569,0.418,0.629,0.256,0.560,0.722,0.207,0.708,0.671
0.479,0.644,0.406,0.971,0.348,-0.058,0.229,0.535,0.147,0.279,0.685,0.751,0.276,1.046,0.179,0.337,0.551,0.529,0.005,0.700,-0.124,-0.093,0.673,1.028,0.162,0.020,0.919,0.605,0.534,0.609,0.306,0.692,0.616,0.039,0.942,0.726
0.336,0.805,0.313,0.822,0.439,0.106,0.421,0.392,0.063,0.307,0.779,0.794,0.531,0.803,0.222,0.161,0.817,0.323,0.281,0.558,-0.128,-0.042,0.696,0.786,0.348,0.076,0.654,0.863,0.446,0.342,0.355,0.608,0.784,0.282,0.720,0.629
0.230,1.143,0.178,0.920,0.214,0.320,0.302,0.312,0.373,0.465,0.787,0.722,0.230,0.920,0.217,0.314,0.727,0.254,0.379,0.438,-0.104,-0.365,0.985,0.809,0.095,-0.105,0.922,0.674,0.591,0.635,0.098,0.685,0.764,0.364,0.280,1.127
0.225,0.699,0.456,0.737,0.454,0.290,0.302,0.357,0.253,0.346,0.729,0.834,0.365,0.749,0.170,0.371,0.849,0.209,0.120,0.609,-0.035,-0.360,1.005,0.870,0.259,0.039,0.633,0.467,0.743,0.782,0.055,1.025,0.622,0.531,0.218,1.172
0.293,0.563,0.649,0.526,0.417,0.597,0.298,0.642,-0.084,0.372,0.757,0.833,0.357,0.638,0.473,0.307,0.962,0.135,0.270,0.362,0.057,-0.115,0.860,0.908,0.234,-0.075,0.715,0.487,0.855,0.776,-0.202,1.471,0.416,0.465,0.381,1.121
0.232,0.746,0.485,0.493,0.333,0.649,0.306,0.448,0.153,0.395,0.673,0.910,0.434,0.443,0.544,0.378,0.824,0.104,0.017,0.562,-0.059,-0.144,1.006,0.845,0.188,-0.250,0.592,0.396,0.774,0.984,-0.127,1.314,0.576,-0.036,0.713,1.388
0.077,0.848,0.494,0.499,0.525,0.572,0.560,0.222,-0.010,0.527,0.542,1.009,0.268,0.478,0.687,0.668,0.525,0.271,0.004,0.780,-0.359,-0.148,1.013,0.881,-0.028,0.155,0.871,0.332,0.787,1.095,-0.144,1.439,0.412,0.291,0.579,1.220
0.140,0.769,0.498,0.282,0.434,0.638,0.669,0.127,-0.024,0.589,0.634,0.942,0.372,0.428,0.530,0.790,0.375,0.232,0.120,0.771,-0.619,-0.203,1.011,0.935,0.016,-0.251,1.268,0.365,0.790,1.093,-0.218,1.509,0.412,0.288,0.652,1.080
-0.174,0.879,0.551,0.187,0.207,0.805,0.262,0.576,-0.110,0.370,0.536,1.088,0.389,0.420,0.467,0.835,0.363,0.209,0.085,0.741,-0.589,-0.081,1.032,0.926,0.004,-0.103,1.207,0.453,0.632,1.214,-0.052,1.186,0.710,0.253,0.526,1.275
-0.079,1.033,0.522,0.037,0.367,0.919,0.264,0.580,-0.093,0.353,0.957,1.022,0.629,0.260,0.446,0.793,0.514,0.250,0.351,0.330,-0.399,-0.261,1.126,0.924,-0.281,-0.275,1.573,0.443,0.531,1.252,0.089,1.144,0.586,0.523,0.440,1.172
-0.207,1.100,0.583,0.208,0.254,0.841,0.233,0.514,0.016,0.300,1.120,0.887,0.733,0.107,0.451,0.660,0.744,0.008,0.223,0.719,-0.361,-0.238,1.159,0.793,-0.438,-0.389,1.567,0.504,0.613,1.095,0.069,1.217,0.443,1.211,-0.421,1.377
0.033,1.272,0.136,0.346,-0.175,0.909,0.262,0.657,-0.029,0.282,1.094,0.954,0.572,0.283,0.435,0.496,0.769,0.243,0.077,0.778,-0.468,-0.138,1.225,0.654,-0.338,-0.070,1.176,0.379,0.555,1.111,0.046,1.460,0.256,1.199,-0.582,1.344
0.191,1.028,0.258,0.373,-0.082,0.792,0.433,0.384,0.162,0.226,1.101,1.120,0.628,0.052,0.463,0.776,0.533,0.250,0.211,0.638,-0.434,-0.011,1.001,0.687,-0.402,0.308,0.799,0.524,0.459,1.083,-0.072,1.604,0.141,0.869,-0.359,1.506
0.133,0.698,0.796,0.828,-0.154,0.302,0.362,0.348,0.170,0.044,1.099,1.232,0.872,0.091,0.231,0.704,0.280,0.611,-0.081,0.949,-0.420,0.089,0.821,0.702,-0.496,0.505,0.775,0.374,0.592,1.031,-0.039,1.666,0.099,1.832,-0.974,1.227
0.104,0.842,0.737,1.245,-0.455,0.334,0.431,0.493,-0.280,0.282,0.973,1.212,0.759,0.303,0.122,0.649,0.194,0.713,-0.289,0.856,-0.057,0.073,1.030,0.681,-0.457,0.472,0.770,0.294,0.619,1.233,-0.101,1.474,0.408,1.882,-1.003,1.553
0.099,0.862,0.702,1.339,-0.689,0.300,0.508,0.662,-0.378,0.162,1.094,1.164,0.718,0.260,0.036,0.388,0.428,0.810,-0.072,0.776,-0.402,0.217,0.947,0.685,-0.138,0.412,0.548,0.355,0.765,1.017,-0.006,1.449,0.350,2.000,-1.132,1.590
-0.061,0.802,1.007,1.370,-0.543,0.262,0.545,0.521,-0.267,0.290,1.155,1.095,0.939,0.173,-0.061,0.304,0.649,0.719,-0.102,0.996,-0.167,0.059,1.085,0.841,0.030,0.340,0.563,0.211,1.076,0.858,-0.043,1.483,0.275,1.983,-1.027,1.406
-0.192,0.596,1.201,1.068,-0.462,0.461,0.460,0.406,-0.014,0.423,1.307,1.066,1.006,-0.336,0.226,0.555,0.526,0.662,-0.106,0.830,-0.215,0.072,1.246,0.691,0.351,-0.005,0.643,0.170,1.097,0.703,-0.025,1.549,0.096,1.933,-0.951,1.240
-0.173,0.537,1.127,0.737,-0.219,0.579,0.213,0.209,0.251,0.364,1.403,1.029,0.597,-0.115,0.317,0.547,0.481,0.668,-0.234,0.882,-0.011,-0.121,1.485,0.603,0.428,-0.101,0.653,0.203,1.094,0.811,-0.031,1.580,0.170,1.801,-0.548,1.022
-0.268,0.641,1.039,0.593,0.041,0.666,0.382,-0.032,0.224,0.381,1.440,1.053,0.676,0.019,0.064,0.395,0.601,0.703,0.030,0.782,-0.227,-0.123,1.466,0.572,0.420,-0.105,0.540,0.291,1.143,0.649,-0.228,1.643,-0.042,0.941,0.193,1.064
-0.215,0.920,0.808,0.668,0.414,0.528,0.071,-0.120,0.560,0.291,1.065,1.104,0.522,0.412,-0.023,0.455,0.532,0.827,0.154,0.690,-0.164,-0.022,1.301,0.715,0.330,-0.370,0.667,0.197,0.998,0.647,-0.521,1.860,-0.224,0.821,0.356,0.945
-0.193,0.962,0.772,0.665,0.469,0.353,0.056,-0.128,0.619,0.328,1.150,1.235,0.914,0.253,-0.144,0.461,0.436,0.706,0.002,0.990,-0.320,-0.234,1.404,0.657,0.332,-0.371,0.830,0.250,1.137,0.499,-0.394,1.764,0.048,0.739,0.449,0.881
-0.273,0.805,0.875,1.042,0.363,0.223,-0.090,-0.422,0.867,0.204,1.172,1.202,0.819,0.390,-0.276,0.630,0.513,0.654,-0.042,0.986,-0.396,-0.085,1.433,0.549,0.257,-0.184,0.679,0.262,1.059,0.361,-0.481,1.918,0.035,0.865,0.458,0.657
-0.319,0.940,0.901,1.050,0.321,0.123,-0.151,-0.544,1.123,0.096,1.146,1.284,0.965,0.415,-0.454,0.549,0.511,0.646,-0.411,0.987,-0.460,0.068,1.367,0.491,0.477,-0.608,0.745,0.094,1.246,0.249,-0.353,1.679,0.168,1.028,0.440,0.532
-0.268,0.989,0.801,1.204,0.261,0.051,-0.244,-0.487,1.108,0.022,1.178,1.117,1.089,0.029,-0.226,0.496,0.469,0.762,-0.524,1.107,-0.592,0.008,1.229,0.587,0.396,-0.824,0.954,0.177,1.169,0.394,-0.255,1.311,0.547,0.354,1.046,0.861
-0.322,1.038,0.938,1.090,0.336,0.056,0.042,-0.462,1.004,0.201,1.128,1.025,1.078,0.092,-0.513,0.729,0.293,0.606,-0.483,1.244,-0.646,-0.006,1.164,0.660,0.883,-1.110,0.512,0.282,1.235,0.335,-0.176,1.376,0.457,0.060,1.265,0.813
-0.219,0.952,1.040,0.813,0.388,0.130,-0.297,-0.477,1.140,-0.016,0.994,1.377,1.177,0.106,-0.549,0.608,0.451,0.556,-0.519,1.239,-0.674,0.038,1.107,0.762,1.337,-1.317,0.248,0.282,1.297,0.442,-0.311,1.608,0.267,0.211,0.986,1.018
-0.044,0.885,1.007,0.689,0.499,0.238,-0.330,-0.561,1.438,0.147,1.027,1.263,0.941,0.091,-0.408,0.504,0.630,0.560,-0.543,1.221,-0.612,0.060,1.009,0.843,0.951,-1.165,0.766,0.383,1.232,0.473,-0.142,1.469,0.479,0.181,0.970,1.117
-0.020,1.045,0.764,0.550,0.303,0.711,0.098,-0.844,1.271,0.090,0.855,1.393,0.836,0.063,-0.211,0.663,0.512,0.496,-0.680,1.078,-0.340,0.229,1.007,0.731,0.849,-1.033,0.818,0.453,1.328,0.360,-0.072,1.439,0.530,0.200,0.888,1.148
-0.010,0.922,0.943,0.624,0.205,0.520,-0.149,-0.951,1.330,-0.124,0.797,1.520,0.874,0.053,0.071,0.683,0.578,0.222,-0.650,1.019,-0.523,0.245,0.836,0.854,0.883,-1.200,0.812,0.412,1.430,0.418,-0.238,1.467,0.520,0.260,0.906,1.205
-0.019,0.987,0.872,0.665,0.275,0.559,-0.252,-0.837,1.481,-0.491,0.723,1.488,0.724,-0.010,0.353,0.770,0.534,0.342,-0.540,0.948,-0.580,0.111,0.998,0.807,0.627,-1.065,1.063,0.331,1.444,0.415,-0.379,1.715,0.400,0.143,1.032,1.261
0.087,1.110,0.863,0.719,0.179,0.684,-0.318,-0.941,1.678,-0.366,0.634,1.527,0.448,0.065,0.539,0.770,0.571,0.389,-0.388,0.998,-0.907,-0.006,0.965,0.993,0.589,-1.222,1.179,0.292,1.454,0.279,-0.453,1.800,0.193,0.756,0.414,1.174
0.070,1.016,0.815,0.745,0.250,0.556,-0.259,-1.046,1.850,-0.344,0.753,1.495,0.488,-0.096,0.571,0.764,0.496,0.411,-0.222,0.948,-0.894,-0.053,0.998,0.985,0.424,-1.454,1.277,0.121,1.795,0.195,-0.758,2.174,-0.132,0.850,0.318,1.226
0.008,0.872,0.945,0.567,0.298,0.642,-0.344,-1.077,1.728,-0.422,0.568,1.566,0.434,-0.199,0.733,0.955,0.288,0.454,0.149,0.700,-1.211,-0.093,1.081,1.011,0.620,-1.372,1.161,0.171,1.665,0.306,-0.890,2.462,-0.331,0.633,0.505,1.290
0.075,0.726,1.027,0.600,0.266,0.611,-0.464,-1.179,1.976,-0.470,0.615,1.377,0.477,-0.337,0.936,0.859,0.184,0.562,0.056,0.779,-1.134,-0.017,1.035,0.968,0.908,-1.437,0.860,0.031,1.739,0.306,-0.798,2.490,-0.344,1.098,0.106,1.180
-0.002,0.914,0.776,0.915,0.242,0.266,-0.385,-1.063,1.761,-0.227,0.776,1.154,0.562,-0.431,0.860,0.774,0.179,0.669,-0.122,0.833,-1.266,0.042,0.897,1.029,1.068,-1.611,0.848,0.232,1.499,0.480,-0.671,2.447,-0.304,0.600,0.396,1.321
0.002,0.909,0.634,0.703,0.169,0.494,-0.443,-0.862,1.619,-0.269,0.888,1.280,0.376,-0.279,0.870,0.816,0.033,0.659,0.084,0.654,-1.204,0.024,0.937,1.008,0.585,-1.375,1.170,0.055,1.611,0.437,-0.728,2.543,-0.492,0.711,0.229,1.250
-0.010,0.852,0.721,0.555,0.197,0.692,-0.353,-0.710,1.590,-0.428,1.069,1.226,0.307,-0.184,0.865,0.841,0.117,0.552,-0.004,0.646,-0.692,-0.004,0.975,0.965,0.528,-1.169,1.194,0.084,1.627,0.423,-0.797,2.562,-0.459,0.928,-0.207,1.474
-0.153,1.149,0.544,0.601,0.112,0.683,-0.094,-0.405,1.145,-0.137,0.863,1.295,0.486,0.048,0.681,1.039,0.108,0.519,-0.220,0.771,-0.979,-0.082,1.144,0.841,0.735,-1.429,1.221,0.276,1.372,0.540,-0.663,2.473,-0.474,1.124,-0.427,1.385
-0.147,0.974,0.612,0.700,0.022,0.596,-0.178,-0.272,1.190,0.181,0.861,1.190,0.178,0.224,0.687,0.802,0.261,0.481,-0.599,1.189,-0.788,-0.079,1.263,0.802,0.197,-1.119,1.655,0.250,1.526,0.374,-0.748,2.544,-0.577,1.053,-0.196,1.194
-0.118,0.844,0.655,0.991,0.026,0.302,0.199,-0.392,0.946,0.223,0.958,1.143,0.141,0.354,0.621,0.785,0.267,0.402,-0.379,0.955,-0.761,-0.054,1.231,0.853,0.032,-0.875,1.589,0.419,1.361,0.290,-0.857,2.739,-0.706,1.256,-0.280,1.053
0.052,0.827,0.601,0.644,0.020,0.785,0.698,-0.373,0.494,0.286,1.009,1.103,0.018,0.742,0.388,0.877,0.370,0.365,-0.467,1.364,-1.081,-0.034,1.189,0.731,0.205,-1.090,1.607,0.382,1.309,0.387,-0.805,2.765,-0.792,1.461,-0.593,0.952
0.191,0.514,0.817,0.450,-0.152,1.025,0.578,-0.472,0.773,0.298,0.837,1.288,0.014,0.775,0.457,1.155,0.092,0.172,-0.951,1.686,-1.399,-0.151,1.033,1.004,0.051,-1.017,1.757,0.205,1.487,0.217,-0.541,2.312,-0.394,0.907,-0.029,0.781
0.055,0.292,1.080,0.522,-0.225,0.910,0.628,-0.620,0.581,0.213,0.725,1.458,0.176,0.615,0.446,1.094,-0.045,0.387,-1.269,1.719,-1.215,-0.178,0.920,1.100,0.017,-0.859,1.726,0.434,1.302,0.280,-0.512,2.182,-0.103,0.686,-0.002,1.043
