0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
0.139,0.152,0.424,0.330,0.005,0.206,0.048,0.880,0.313,0.206
0.049,-0.021,0.288,0.260,-0.204,0.025,-0.064,0.837,0.156,0.088
-0.067,-0.069,0.301,0.175,-0.248,0.012,-0.184,0.756,0.122,0.004
0.117,0.075,0.408,0.311,-0.138,0.089,0.033,0.885,0.272,0.206
0.197,0.201,0.457,0.338,-0.020,0.194,0.038,0.962,0.351,0.262
0.187,0.165,0.406,0.358,-0.010,0.215,-0.054,0.972,0.267,0.141
0.337,0.359,0.559,0.575,0.169,0.330,0.310,1.203,0.547,0.365
0.259,0.348,0.533,0.417,0.167,0.325,0.113,1.124,0.476,0.264
0.295,0.084,0.356,0.290,0.028,0.293,0.051,0.994,0.387,0.255
0.271,0.160,0.435,0.309,0.041,0.228,0.073,1.030,0.344,0.157
0.298,0.351,0.632,0.557,0.053,0.413,0.259,1.080,0.488,0.397
0.243,0.272,0.604,0.476,0.072,0.326,0.240,1.167,0.507,0.358
0.356,0.371,0.630,0.615,0.177,0.345,0.244,1.231,0.552,0.432
0.473,0.485,0.698,0.652,0.219,0.544,0.339,1.265,0.597,0.552
0.258,0.311,0.550,0.516,0.219,0.366,0.278,1.162,0.513,0.412
0.131,0.075,0.346,0.231,-0.063,0.089,-0.073,0.937,0.317,0.157
0.132,0.220,0.457,0.364,-0.061,0.282,0.006,0.984,0.365,0.256
0.349,0.289,0.634,0.526,0.106,0.348,0.221,1.113,0.497,0.382
0.119,0.122,0.460,0.462,0.054,0.213,0.157,1.044,0.348,0.317
-0.121,-0.062,0.174,-0.006,-0.195,-0.044,-0.264,0.704,0.102,0.010
0.022,-0.054,0.277,0.234,-0.189,0.009,-0.178,0.808,0.097,0.014
0.252,0.175,0.513,0.481,0.115,0.243,0.080,1.101,0.397,0.134
0.072,0.009,0.405,0.318,-0.135,0.078,0.015,0.910,0.186,0.113
0.072,0.071,0.309,0.348,-0.133,0.026,-0.041,0.870,0.204,0.093
0.352,0.319,0.610,0.492,0.101,0.341,0.135,1.194,0.496,0.389
0.087,0.032,0.344,0.283,-0.100,0.137,-0.111,0.890,0.257,0.153
-0.208,-0.153,0.202,-0.038,-0.229,-0.111,-0.389,0.718,0.019,-0.090
