0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
0.397,0.194,0.485,0.517,0.344,0.108,0.587,0.018,-0.016,0.343,0.550,0.394,0.130,0.601,-0.056,0.146,0.324,0.470,0.306,0.100,0.317,-0.058,0.395,0.575,0.321,0.190,0.244,0.501,0.244,0.213,0.209,0.338,0.593,-0.544,1.175,0.465
0.334,0.296,0.759,0.608,0.279,0.281,0.530,0.160,-0.008,0.510,0.494,0.532,0.072,0.710,0.078,0.421,0.382,0.530,0.156,0.268,0.284,0.107,0.588,0.533,0.018,0.538,0.335,0.385,0.474,0.446,-0.001,0.538,0.785,0.106,0.751,0.378
0.561,0.456,0.426,0.931,0.269,0.031,0.683,0.393,-0.150,0.488,0.546,0.464,-0.096,0.734,0.291,0.745,0.226,0.439,0.106,0.439,0.102,0.087,0.417,0.887,0.254,0.631,0.428,0.255,0.770,0.382,0.234,0.638,0.725,-0.210,1.093,0.462
0.554,0.685,0.300,1.130,0.213,-0.164,0.356,0.510,0.021,0.490,0.582,0.855,-0.136,0.940,0.232,0.690,0.161,0.525,0.214,0.345,-0.100,0.305,0.296,0.903,0.427,0.426,0.458,0.545,0.777,0.283,0.044,0.963,0.536,-0.637,1.503,0.544
0.522,0.875,0.360,1.272,0.217,-0.454,0.250,0.446,0.185,0.826,0.397,0.823,0.149,0.778,0.237,0.651,0.277,0.429,0.072,0.743,-0.284,0.298,0.360,0.824,0.465,0.028,0.554,0.501,0.867,0.257,0.218,0.916,0.728,-0.471,1.281,0.712
0.793,0.807,0.209,1.016,0.294,-0.002,0.209,0.490,0.204,0.758,0.416,0.993,0.217,0.632,0.202,0.605,0.516,0.313,0.088,0.710,-0.257,0.336,0.454,0.825,0.541,-0.020,0.798,0.499,0.973,0.133,0.151,0.792,0.952,-0.686,1.727,0.498
0.572,0.974,-0.020,1.039,0.128,0.008,0.344,0.460,0.050,0.683,0.508,0.920,0.253,0.409,0.382,0.604,0.512,0.311,-0.006,0.842,-0.167,0.427,0.595,0.628,0.242,0.246,0.933,0.596,0.984,0.031,0.213,0.935,0.788,-0.165,1.158,0.724
0.628,0.688,0.200,1.210,0.010,-0.214,0.285,0.535,-0.016,0.782,0.678,0.926,0.428,0.216,0.216,0.605,0.457,0.371,0.256,0.665,-0.201,0.373,0.643,0.747,0.001,0.723,0.592,0.701,0.928,0.044,0.326,0.854,0.861,0.076,0.696,1.007
0.585,0.723,0.282,1.401,-0.135,-0.185,0.344,0.526,-0.207,0.742,0.663,0.888,-0.046,0.570,0.224,0.142,0.847,0.203,0.172,0.607,-0.178,0.368,0.742,0.767,-0.012,0.571,0.677,0.457,1.046,0.171,0.164,1.213,0.497,0.556,0.462,0.776
0.642,0.848,0.226,1.379,-0.157,0.047,0.232,0.725,-0.168,0.647,0.530,1.036,0.268,0.533,0.049,0.229,0.713,0.347,0.096,0.624,-0.366,0.326,0.973,0.650,0.163,0.644,0.453,0.553,1.009,0.194,-0.015,1.371,0.420,0.403,0.458,1.040
0.705,0.849,0.225,1.663,-0.201,-0.096,0.241,0.808,-0.285,0.645,0.411,1.136,0.172,0.459,0.209,0.479,0.620,0.194,0.161,0.427,-0.551,0.348,0.983,0.686,0.312,0.416,0.502,0.712,0.880,0.303,-0.225,1.535,0.389,0.931,0.045,0.776
0.709,0.575,0.300,1.522,-0.225,0.067,0.384,0.567,-0.243,0.587,0.572,1.074,0.276,0.487,0.180,0.274,0.651,0.306,0.255,0.432,-0.357,0.216,1.032,0.687,0.295,0.702,0.141,0.838,0.699,0.392,-0.115,1.503,0.293,1.216,-0.271,0.756
0.494,0.711,0.372,1.568,-0.180,0.090,0.314,0.571,0.013,0.746,0.636,0.899,0.441,0.498,0.007,0.146,0.874,0.155,-0.011,0.683,-0.255,0.301,1.091,0.613,0.605,0.563,0.013,0.837,0.814,0.297,-0.143,1.648,0.153,1.207,-0.359,1.025
0.490,0.626,0.513,1.592,-0.109,0.036,0.241,0.462,0.117,0.626,0.834,0.950,0.505,0.326,0.084,0.231,0.815,0.149,0.069,0.640,-0.171,0.290,1.097,0.560,0.487,0.566,0.042,0.847,0.683,0.296,-0.227,1.792,-0.003,1.171,-0.575,1.418
0.402,0.402,0.665,1.774,-0.142,-0.236,0.561,0.270,-0.107,0.469,0.890,1.081,0.380,0.402,-0.009,0.321,0.885,0.172,-0.039,0.739,-0.398,0.258,0.991,0.670,0.389,0.808,-0.121,0.776,0.723,0.439,-0.129,1.801,0.089,1.186,-0.633,1.403
0.627,0.458,0.555,1.568,-0.053,-0.106,0.455,0.290,0.045,0.546,1.133,0.819,0.490,0.554,-0.289,0.155,1.015,0.356,-0.235,0.894,-0.207,0.234,0.903,0.748,0.218,0.822,-0.049,0.980,0.604,0.348,-0.112,1.789,0.095,0.804,-0.088,1.220
0.685,0.375,0.467,1.585,-0.099,-0.122,0.536,0.421,0.007,0.502,1.081,0.676,0.670,0.368,-0.189,0.183,1.045,0.253,-0.353,0.999,-0.216,0.177,1.121,0.619,0.206,0.593,0.270,1.019,0.667,0.261,0.050,1.551,0.283,0.355,0.479,1.166
0.428,0.468,0.659,1.518,0.209,-0.343,0.433,0.252,0.247,0.735,1.063,0.430,1.090,0.111,-0.200,0.138,0.946,0.224,-0.499,1.084,-0.268,0.031,1.399,0.591,0.323,0.456,0.295,0.963,0.679,0.287,0.157,1.468,0.422,0.081,0.730,1.254
0.249,0.754,0.588,1.682,0.070,-0.284,0.387,0.380,0.092,0.536,1.315,0.421,1.459,-0.287,-0.201,0.022,1.163,0.235,-0.472,0.970,-0.303,-0.081,1.572,0.618,0.579,0.295,0.111,0.750,0.783,0.210,0.139,1.443,0.470,0.366,0.414,1.504
-0.010,0.855,0.584,1.340,0.101,0.107,0.093,0.626,0.174,0.712,1.327,0.252,1.185,-0.214,-0.041,-0.212,1.194,0.355,-1.011,1.230,-0.579,-0.105,1.588,0.566,0.349,0.482,0.004,0.590,0.912,0.196,0.053,1.556,0.296,0.200,0.769,1.277
0.295,0.801,0.479,1.232,0.094,0.247,0.241,0.676,0.116,0.632,1.086,0.341,0.915,0.227,-0.013,0.012,1.018,0.405,-1.165,1.491,-0.671,-0.143,1.628,0.618,0.235,0.403,0.008,0.516,1.002,0.264,0.021,1.737,0.217,-0.019,1.150,1.164
0.242,0.515,0.849,1.352,0.048,0.199,0.322,0.385,0.270,0.526,1.159,0.297,0.832,0.180,0.153,-0.166,1.026,0.344,-1.220,1.414,-0.717,-0.284,1.554,0.799,0.171,0.598,-0.247,0.398,1.116,0.190,-0.044,1.795,0.210,-0.246,1.486,1.050
0.233,0.399,1.014,1.404,-0.012,0.185,0.389,0.248,0.397,0.510,1.217,0.397,1.114,0.028,-0.145,0.131,0.811,0.374,-1.042,1.544,-0.967,-0.230,1.552,0.698,0.405,0.408,-0.238,0.382,1.107,0.227,-0.128,1.846,0.155,0.243,0.946,1.037
0.092,0.346,1.091,1.331,-0.144,0.195,0.258,0.290,0.227,0.456,1.392,0.264,1.009,-0.012,0.067,-0.046,1.103,0.404,-1.052,1.412,-0.738,-0.137,1.497,0.764,0.338,0.836,-0.486,0.544,0.891,0.594,-0.146,1.789,0.217,0.361,0.820,1.059
0.156,0.495,0.841,1.320,-0.104,0.272,0.215,0.581,0.317,0.144,1.501,0.229,0.955,0.123,-0.082,-0.173,1.338,0.249,-1.060,1.606,-0.966,-0.113,1.556,0.718,0.119,1.070,-0.316,0.233,1.058,0.636,-0.108,1.795,0.271,0.440,0.807,1.156
0.390,0.444,0.751,1.381,-0.130,0.222,0.341,0.661,0.090,0.077,1.551,0.229,1.095,0.089,-0.262,-0.370,1.562,0.066,-0.901,1.320,-0.499,-0.270,1.625,0.561,0.079,1.175,-0.649,0.168,1.348,0.422,-0.333,1.864,0.153,0.246,0.867,1.209
