0.333,0.333,0.333
0.332,0.324,0.347
0.299,0.344,0.325
0.312,0.316,0.355
0.339,0.304,0.370
0.335,0.303,0.378
0.317,0.332,0.323
0.309,0.339,0.289
0.313,0.317,0.314
0.312,0.326,0.297
0.303,0.350,0.258
0.288,0.371,0.237
0.290,0.364,0.229
0.291,0.359,0.231
0.284,0.366,0.212
0.272,0.380,0.190
0.250,0.417,0.157
0.262,0.392,0.184
0.252,0.417,0.168
0.243,0.412,0.179
0.251,0.434,0.165
0.259,0.409,0.194
0.260,0.401,0.170
0.261,0.420,0.143
0.238,0.469,0.083
0.226,0.463,0.083
0.219,0.492,0.021
0.219,0.486,0.013
0.190,0.527,-0.037
0.177,0.555,-0.066
0.183,0.550,-0.069
0.175,0.544,-0.059
0.202,0.497,-0.042
0.201,0.490,-0.028
0.199,0.496,-0.055
0.191,0.512,-0.073
0.167,0.518,-0.097
0.159,0.532,-0.113
0.137,0.566,-0.155
0.138,0.563,-0.172
0.128,0.573,-0.179
0.122,0.591,-0.197
0.114,0.569,-0.165
0.131,0.583,-0.160
0.159,0.544,-0.096
0.162,0.562,-0.126
0.182,0.544,-0.115
0.176,0.534,-0.105
0.165,0.530,-0.099
0.175,0.526,-0.090
0.168,0.522,-0.077
0.145,0.544,-0.104
0.139,0.531,-0.087
0.099,0.586,-0.158
0.064,0.593,-0.167
0.039,0.619,-0.190
0.045,0.615,-0.202
0.012,0.666,-0.248
-0.006,0.662,-0.253
-0.013,0.676,-0.278
-0.026,0.674,-0.253
-0.012,0.672,-0.232
-0.038,0.698,-0.285
-0.038,0.684,-0.273
-0.050,0.718,-0.311
-0.057,0.710,-0.305
-0.053,0.718,-0.318
-0.031,0.707,-0.282
-0.048,0.734,-0.329
-0.066,0.775,-0.397
-0.063,0.785,-0.403
-0.027,0.737,-0.359
-0.009,0.700,-0.300
-0.010,0.717,-0.318
0.002,0.703,-0.318
0.004,0.682,-0.278
-0.000,0.722,-0.329
0.017,0.695,-0.306
0.012,0.710,-0.326
0.001,0.744,-0.366
-0.016,0.785,-0.428
-0.002,0.784,-0.425
0.012,0.771,-0.418
-0.016,0.818,-0.437
-0.033,0.860,-0.472
-0.025,0.843,-0.469
-0.031,0.853,-0.454
-0.018,0.848,-0.462
-0.028,0.851,-0.448
0.006,0.792,-0.395
0.022,0.765,-0.365
0.000,0.783,-0.380
-0.002,0.785,-0.382
-0.005,0.798,-0.375
-0.043,0.846,-0.410
-0.058,0.868,-0.428
-0.066,0.879,-0.444
-0.075,0.894,-0.452
-0.066,0.903,-0.490
-0.049,0.889,-0.466
-0.027,0.819,-0.405
-0.018,0.801,-0.399
-0.010,0.767,-0.405
0.003,0.769,-0.402
0.001,0.769,-0.398
0.018,0.741,-0.381
0.025,0.747,-0.400
0.017,0.767,-0.423
0.018,0.777,-0.408
-0.002,0.816,-0.449
0.010,0.802,-0.422
-0.009,0.831,-0.450
-0.025,0.862,-0.476
0.030,0.797,-0.429
0.032,0.779,-0.410
0.025,0.784,-0.425
0.026,0.781,-0.420
0.035,0.778,-0.428
0.042,0.761,-0.421
0.048,0.760,-0.431
0.043,0.753,-0.423
0.055,0.752,-0.427
0.054,0.741,-0.435
0.044,0.759,-0.458
0.038,0.758,-0.442
0.049,0.761,-0.424
0.033,0.782,-0.443
0.030,0.769,-0.441
0.042,0.744,-0.413
0.027,0.761,-0.433
0.001,0.786,-0.462
0.014,0.775,-0.445
0.008,0.777,-0.414
-0.009,0.772,-0.406
-0.008,0.769,-0.403
-0.022,0.790,-0.425
0.007,0.775,-0.415
0.016,0.755,-0.380
0.012,0.755,-0.379
0.009,0.751,-0.379
0.026,0.724,-0.352
0.054,0.683,-0.311
0.051,0.659,-0.282
0.051,0.662,-0.281
0.065,0.652,-0.262
0.057,0.644,-0.282
0.031,0.687,-0.313
0.034,0.687,-0.322
0.029,0.690,-0.333
0.012,0.695,-0.329
0.012,0.678,-0.319
0.020,0.672,-0.322
0.017,0.672,-0.312
0.016,0.668,-0.324
0.031,0.656,-0.294
0.021,0.683,-0.327
0.013,0.710,-0.386
0.021,0.716,-0.393
0.027,0.686,-0.363
0.017,0.718,-0.438
0.023,0.705,-0.425
0.015,0.714,-0.427
-0.001,0.717,-0.445
0.003,0.710,-0.418
-0.015,0.727,-0.426
-0.028,0.730,-0.424
-0.005,0.696,-0.404
-0.013,0.700,-0.407
0.007,0.679,-0.383
0.019,0.665,-0.348
0.025,0.648,-0.322
0.024,0.641,-0.320
0.035,0.627,-0.317
