0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050
-0.065,-0.078,0.196,0.264,0.069,-0.223,-0.212,0.333,-0.108,-0.042,-0.291,0.123,-0.020,0.152,-0.302,-0.424,-0.828,-0.203,-0.272,0.149
0.037,0.048,0.405,0.505,0.053,0.116,-0.078,0.544,-0.024,0.093,-0.336,0.202,0.038,0.284,-0.403,-0.292,-0.811,0.226,-0.180,0.172
-0.054,0.138,0.285,0.613,0.165,0.023,-0.204,0.447,0.027,0.167,-0.226,0.167,-0.098,0.328,-0.471,-0.265,-0.405,0.114,-0.070,0.087
0.223,0.274,0.435,0.711,0.427,0.262,-0.171,0.591,0.193,0.207,-0.266,0.345,0.062,0.624,-0.256,-0.169,-0.250,0.309,-0.101,0.107
0.113,0.216,0.325,0.498,0.130,0.055,-0.233,0.390,-0.027,0.256,-0.319,0.273,-0.079,0.395,-0.361,-0.439,-0.567,0.119,-0.102,0.200
-0.156,-0.024,0.190,0.241,-0.193,0.049,-0.574,0.220,-0.064,-0.067,-0.432,0.015,-0.147,0.130,-0.645,-0.489,-0.740,-0.116,-0.511,0.072
0.069,-0.040,0.294,0.389,0.071,0.015,-0.269,0.457,-0.095,0.039,-0.530,0.131,-0.029,0.341,-0.501,-0.210,-0.516,-0.017,-0.305,0.108
-0.180,-0.038,0.275,0.443,-0.048,-0.074,-0.342,0.433,-0.081,0.112,-0.469,0.138,-0.137,0.343,-0.326,-0.331,-0.554,-0.215,-0.353,0.064
0.104,0.035,0.391,0.423,0.041,0.065,-0.485,0.305,-0.046,-0.030,-0.171,0.275,-0.084,0.446,-0.278,-0.276,-0.549,0.047,-0.184,0.115
-0.161,0.057,0.355,0.484,-0.040,0.016,-0.394,0.390,-0.080,-0.033,-0.208,0.149,-0.059,0.369,-0.530,-0.355,-0.524,-0.248,-0.401,0.256
-0.035,-0.048,0.315,0.459,-0.156,-0.029,-0.333,0.336,-0.021,-0.031,-0.089,0.104,-0.165,0.370,-0.448,-0.594,-0.721,-0.056,-0.266,0.174
-0.027,0.042,0.402,0.613,0.153,0.167,-0.200,0.398,-0.127,0.247,-0.096,0.350,0.146,0.542,-0.264,-0.294,-0.720,0.025,-0.350,0.154
0.193,0.003,0.362,0.546,0.216,0.203,-0.078,0.551,0.131,0.190,-0.304,0.542,0.067,0.697,-0.607,-0.259,-0.557,0.095,-0.082,0.330
