1.015,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031,1.031
1.069,1.882,1.930,1.165,1.394,1.424,1.531,1.426,1.507,2.311,1.568,1.724,1.784,1.089,1.759,2.242,1.369,1.370,1.471,1.332,2.164,2.863,2.196,1.569,1.626,2.292,2.126,2.518,2.842,2.232,1.910,2.069,2.107,2.049,1.880,1.765,2.525,2.375,2.336,1.715,1.149,1.677,2.298,2.356,1.598,1.135,1.649,1.719,1.405,0.951,1.619,2.417,2.354,2.538,2.042,2.521,1.944,1.434,1.682,1.830,1.290,1.476,2.034,1.191,1.534,1.521
1.202,2.235,1.527,1.097,1.521,1.121,1.441,1.858,2.444,2.646,1.637,2.510,2.751,1.655,2.355,3.562,2.306,1.894,1.822,1.462,2.299,3.596,3.791,1.812,1.626,3.046,2.348,3.583,3.374,3.286,2.737,2.518,3.287,3.263,2.098,2.285,3.187,3.192,3.615,2.738,2.253,2.259,2.863,3.248,1.855,1.071,1.359,1.844,1.673,0.861,2.263,2.758,2.194,3.929,3.508,2.251,1.882,1.860,1.658,1.864,1.758,1.466,1.915,1.359,1.322,1.545
1.903,3.335,1.568,1.291,1.723,0.876,1.650,2.903,3.288,3.244,1.606,2.725,2.731,1.877,3.230,3.709,2.777,2.055,1.811,1.587,2.622,4.029,3.719,2.294,2.113,3.515,2.965,3.153,3.334,2.944,2.550,3.158,3.929,4.788,1.869,2.791,3.454,2.671,4.316,2.753,2.081,3.283,2.937,2.395,2.088,0.903,1.804,2.810,1.223,0.752,2.137,2.740,2.356,6.276,5.901,2.393,2.212,2.125,1.893,2.264,2.388,1.988,2.581,1.566,1.656,1.067
1.856,3.242,2.729,2.064,1.334,0.881,2.206,3.769,3.222,2.575,2.108,2.495,3.061,2.117,2.364,3.639,2.861,2.069,1.604,2.267,3.012,4.014,3.995,1.838,1.736,3.727,3.186,3.063,3.124,2.649,4.313,3.525,3.272,4.787,2.164,2.851,3.173,3.904,3.748,2.842,2.811,3.019,3.514,3.143,2.950,0.794,2.218,3.557,0.744,1.005,1.797,2.692,2.388,5.435,6.232,2.866,2.133,1.742,2.942,2.466,2.135,1.920,2.043,1.839,1.386,1.120
2.016,3.477,1.968,1.737,1.229,0.706,1.787,3.888,3.279,3.017,2.227,2.609,2.618,1.964,2.929,4.140,2.649,1.301,1.744,1.821,2.556,5.349,3.648,1.819,2.258,3.279,3.562,3.744,4.030,3.026,3.742,3.413,4.009,5.068,2.174,3.185,2.414,3.537,3.893,2.587,2.312,2.566,4.355,2.796,2.837,1.006,2.298,4.844,0.909,1.385,2.268,2.670,3.544,6.376,6.004,3.234,2.314,2.139,2.800,2.770,3.247,2.107,1.786,1.590,1.602,1.715
2.079,3.406,2.152,1.944,1.049,0.744,1.702,3.638,3.670,3.328,2.382,2.564,2.805,1.661,2.665,3.789,2.390,0.931,0.895,1.524,1.749,5.378,4.574,2.347,2.762,3.182,3.743,4.129,5.455,3.755,5.008,4.023,4.972,5.549,1.984,2.587,3.124,3.934,3.776,2.963,2.306,3.353,4.051,2.773,2.538,0.792,2.367,4.190,0.961,1.129,2.135,2.705,2.339,5.972,6.197,3.015,2.055,2.195,3.362,3.075,2.818,2.291,1.854,1.967,2.226,1.343
2.078,3.054,1.821,2.226,0.893,0.625,1.638,2.840,3.334,3.210,2.295,3.264,3.232,1.240,2.291,2.665,2.096,1.476,1.357,2.322,1.921,3.743,4.591,3.438,2.254,3.155,4.205,3.865,5.561,3.934,6.338,3.586,4.441,5.417,1.527,2.264,1.486,3.937,4.618,1.635,2.678,3.457,3.693,1.948,2.526,1.266,2.996,4.030,0.895,1.002,1.468,2.820,2.298,5.665,5.092,2.459,2.212,2.099,4.484,3.507,2.391,2.209,1.389,1.901,1.980,0.778
2.083,3.346,2.052,1.840,0.911,1.005,1.573,2.326,2.733,3.941,2.023,3.244,4.324,0.706,1.619,2.067,2.259,1.471,1.136,2.990,2.094,4.335,5.609,2.694,2.851,3.085,4.197,4.875,5.977,4.742,6.303,4.097,5.281,4.795,1.584,2.279,1.809,3.059,4.213,2.457,2.170,3.712,3.412,2.457,2.534,0.897,2.949,4.125,0.652,0.670,1.533,3.269,2.837,6.235,6.405,2.162,1.769,2.543,3.246,3.062,2.414,1.613,1.346,1.697,1.932,0.954
2.533,2.717,1.672,1.538,0.537,1.099,1.411,1.756,2.901,3.985,1.659,3.207,4.022,0.602,1.858,2.571,2.566,1.827,1.094,3.170,3.564,3.865,6.414,3.585,3.575,3.589,4.407,4.403,4.474,5.499,6.074,4.715,6.120,4.579,1.361,2.711,2.317,2.652,3.980,2.559,2.522,4.135,3.901,2.395,3.013,0.728,2.144,4.710,0.595,0.564,1.336,4.419,2.781,6.401,8.706,1.827,2.072,2.301,3.141,3.573,2.254,1.824,1.135,1.977,2.071,1.021
2.799,3.852,1.891,1.988,0.639,0.764,1.298,1.825,3.284,2.944,1.678,4.167,4.484,0.678,1.899,3.156,2.278,2.521,1.800,2.700,3.791,4.170,5.425,4.244,3.397,3.547,5.083,4.728,5.222,6.866,6.242,3.640,5.343,3.712,1.235,2.764,1.802,2.700,5.590,2.875,2.839,4.698,3.778,2.124,2.852,0.986,2.191,3.372,0.438,0.601,1.026,3.850,3.137,4.999,6.714,1.474,2.287,2.520,2.264,3.223,2.920,1.294,0.982,2.494,2.058,0.712
2.259,3.128,1.653,1.318,0.780,1.035,0.966,1.822,3.596,3.705,1.741,3.934,5.456,0.892,1.775,2.385,2.273,2.096,1.333,2.308,3.202,4.671,5.486,4.304,2.945,3.949,4.493,3.894,7.347,6.758,7.743,3.531,5.121,3.555,0.954,2.751,2.095,2.932,5.745,2.619,2.541,5.710,3.567,2.655,3.772,1.537,2.764,3.400,0.584,0.519,1.718,4.973,3.205,4.863,4.091,1.814,2.550,2.189,1.676,2.222,2.644,0.969,1.117,2.356,1.739,1.219
2.628,3.466,1.736,1.518,0.936,0.731,0.939,1.873,2.865,4.521,1.679,3.702,5.691,1.092,1.415,1.769,2.833,1.711,1.171,1.913,3.107,4.458,3.376,4.284,2.510,3.708,5.690,3.888,6.291,6.609,7.449,3.280,5.080,3.524,1.072,3.023,2.745,3.556,6.083,2.253,1.679,5.484,3.952,2.097,4.327,1.764,1.934,2.970,0.702,0.464,1.866,5.443,3.252,6.588,4.959,1.980,2.450,2.028,1.725,2.275,3.383,1.141,0.833,2.479,1.553,1.302
2.535,2.978,0.987,1.018,1.057,0.656,1.036,1.660,2.446,4.987,1.351,3.304,4.802,1.110,2.058,2.685,2.991,0.856,0.694,1.222,1.995,5.695,4.085,4.234,2.341,4.062,5.233,4.156,6.945,5.892,7.591,3.531,5.115,2.910,1.287,2.517,2.671,3.580,4.990,2.039,1.942,6.089,3.702,2.666,2.779,1.202,2.025,3.223,0.782,0.499,2.129,4.235,2.406,5.222,5.647,2.129,2.248,2.048,1.642,2.196,2.600,1.147,0.752,1.920,2.135,0.901
2.284,3.181,1.246,0.890,0.847,1.153,2.145,2.073,2.204,5.371,1.774,3.350,3.952,1.054,2.055,2.602,3.437,1.399,1.090,1.016,2.219,6.674,3.807,3.792,1.991,3.408,5.611,3.914,5.869,5.517,8.873,3.361,5.592,3.368,1.097,3.466,2.905,3.310,5.044,2.021,2.244,8.087,4.985,3.648,3.662,1.429,1.620,2.758,0.875,0.683,2.461,4.100,3.144,5.858,6.300,2.530,1.993,2.057,2.094,2.379,2.063,0.711,0.824,2.289,1.813,0.914
