1.181,1.284,1.181,1.181,1.181,1.284,1.181,1.181,1.181,1.284,1.181,1.181,1.181,1.181,1.181
1.679,1.487,0.710,1.853,1.420,0.691,0.307,1.095,1.414,2.064,1.034,2.912,2.071,0.726,1.437
2.042,1.602,0.604,2.081,1.327,0.398,0.169,0.706,2.113,2.408,0.618,4.440,2.496,0.524,1.465
2.404,1.337,0.403,1.845,1.248,0.277,0.123,0.500,2.295,2.598,0.638,4.613,2.618,0.406,1.155
2.806,1.330,0.331,1.908,1.476,0.177,0.046,0.466,2.343,2.797,0.673,4.959,2.450,0.484,0.784
2.470,1.168,0.265,2.085,1.709,0.148,0.049,0.265,2.548,3.199,0.647,6.205,2.495,0.371,0.727
2.534,1.529,0.374,2.469,1.434,0.096,0.028,0.228,3.234,3.215,0.546,5.848,2.781,0.424,0.889
2.531,1.296,0.250,2.660,1.326,0.111,0.040,0.234,2.947,3.217,0.506,6.947,3.379,0.336,1.047
2.723,1.349,0.257,2.597,0.719,0.071,0.024,0.293,3.140,3.202,0.497,6.568,3.232,0.393,0.996
2.430,1.390,0.301,2.639,0.620,0.079,0.038,0.265,3.318,3.473,0.601,6.052,3.266,0.495,0.434
2.631,1.459,0.279,2.899,0.691,0.104,0.040,0.386,3.156,3.735,0.682,6.485,3.008,0.432,0.353
2.601,1.202,0.238,2.332,0.473,0.106,0.068,0.348,2.953,3.584,0.735,5.918,2.995,0.518,0.484
2.448,1.196,0.225,2.595,0.665,0.114,0.069,0.282,3.477,3.549,0.675,5.366,3.200,0.453,0.471
2.502,1.349,0.268,2.713,0.601,0.111,0.066,0.312,3.196,3.404,0.589,6.158,3.056,0.397,0.716
2.609,1.355,0.282,2.494,0.624,0.089,0.035,0.366,3.462,3.628,0.645,5.892,2.975,0.313,0.607
2.237,0.971,0.198,2.129,1.216,0.113,0.030,0.350,3.642,3.682,0.656,5.673,3.472,0.176,0.536
2.226,1.083,0.205,2.570,0.992,0.126,0.045,0.357,3.272,3.431,0.542,6.642,3.404,0.134,0.782
2.150,1.328,0.295,2.778,0.807,0.120,0.074,0.241,3.308,3.153,0.452,6.655,2.875,0.215,0.813
2.201,1.283,0.240,3.119,0.627,0.110,0.074,0.259,2.951,2.634,0.324,7.262,3.170,0.174,0.706
2.310,1.180,0.213,2.824,0.655,0.060,0.029,0.192,3.062,2.926,0.344,8.125,3.441,0.226,0.943
2.270,1.424,0.301,2.969,0.602,0.071,0.051,0.164,2.859,2.776,0.389,6.935,3.680,0.125,0.741
2.476,1.414,0.274,2.941,0.552,0.034,0.013,0.163,3.020,3.009,0.456,6.583,4.436,0.260,0.761
2.774,1.233,0.203,2.699,0.482,0.041,0.017,0.204,3.510,2.750,0.320,6.739,3.760,0.312,0.635
2.695,1.345,0.245,2.740,0.455,0.052,0.027,0.218,3.535,3.067,0.390,6.825,3.743,0.358,0.564
2.791,1.464,0.288,2.671,0.566,0.049,0.022,0.197,3.541,3.559,0.555,6.443,3.610,0.266,0.480
2.664,1.372,0.245,2.880,0.713,0.077,0.045,0.186,3.388,3.385,0.544,6.213,3.762,0.201,0.628
2.776,1.118,0.183,2.468,0.637,0.071,0.045,0.173,3.171,3.263,0.524,6.413,3.310,0.177,0.597
2.589,1.201,0.196,2.840,0.453,0.058,0.076,0.099,3.568,3.174,0.448,6.305,3.391,0.158,0.866
2.458,1.279,0.219,3.042,0.452,0.035,0.070,0.038,3.358,3.171,0.447,6.700,3.798,0.272,0.697
2.409,1.483,0.282,3.242,0.320,0.025,0.081,0.024,3.182,3.304,0.566,6.061,3.881,0.181,0.841
2.447,1.402,0.247,3.258,0.280,0.023,0.042,0.044,3.553,3.107,0.445,6.099,3.811,0.250,1.083
2.591,1.473,0.269,3.116,0.380,0.038,0.087,0.043,3.542,3.327,0.506,6.179,3.777,0.189,1.370
2.930,1.567,0.239,3.514,0.672,0.061,0.078,0.072,3.890,3.467,0.476,6.497,3.524,0.175,0.895
2.807,1.542,0.229,3.702,0.768,0.065,0.064,0.086,3.209,3.924,0.614,7.809,3.172,0.132,0.557
2.858,1.337,0.178,3.518,0.627,0.043,0.066,0.045,3.265,3.724,0.611,6.949,3.383,0.217,0.588
2.835,1.325,0.215,2.884,0.619,0.049,0.086,0.046,3.012,3.346,0.507,7.330,3.290,0.099,0.598
2.750,1.510,0.278,2.986,0.722,0.082,0.072,0.130,2.757,3.349,0.591,6.887,3.445,0.101,0.371
2.531,1.300,0.231,2.885,0.718,0.057,0.043,0.103,2.894,3.570,0.677,6.509,3.425,0.192,0.390
2.653,1.421,0.277,2.743,0.630,0.053,0.054,0.082,2.539,3.795,0.730,7.773,3.346,0.199,0.356
2.567,1.221,0.181,3.205,0.572,0.052,0.073,0.066,2.923,3.714,0.668,7.069,3.534,0.145,0.482
2.855,1.534,0.235,3.512,0.762,0.063,0.039,0.135,3.331,2.990,0.450,5.963,3.192,0.251,0.635
2.875,1.512,0.241,3.298,0.836,0.104,0.071,0.185,3.250,3.110,0.480,6.196,2.797,0.231,0.531
3.116,1.388,0.157,3.929,0.743,0.102,0.092,0.151,2.860,3.580,0.661,6.783,3.529,0.144,0.553
2.834,1.136,0.146,3.115,0.745,0.097,0.087,0.145,2.499,3.569,0.768,6.637,3.521,0.104,0.440
2.861,1.250,0.185,2.951,0.702,0.054,0.055,0.074,3.019,4.431,0.866,7.511,3.400,0.094,0.800
2.895,1.123,0.166,2.616,0.819,0.103,0.069,0.188,3.212,3.459,0.563,6.616,3.204,0.155,0.817
2.959,1.371,0.269,2.360,0.746,0.096,0.095,0.131,3.050,3.176,0.456,7.250,3.426,0.169,0.504
2.841,1.441,0.291,2.511,0.597,0.073,0.079,0.114,2.984,2.763,0.370,6.912,2.862,0.232,0.309
2.693,1.520,0.321,2.672,1.100,0.114,0.048,0.246,3.019,3.344,0.519,7.139,3.624,0.329,0.331
2.502,1.270,0.263,2.450,1.011,0.103,0.054,0.194,3.323,2.942,0.343,7.596,3.374,0.279,0.369
2.429,1.353,0.265,2.839,0.746,0.085,0.051,0.188,3.432,3.167,0.461,6.333,2.907,0.306,0.631
2.499,1.419,0.262,3.074,0.943,0.081,0.051,0.137,3.364,3.456,0.525,6.758,2.828,0.260,0.528
2.481,1.388,0.293,2.645,0.649,0.074,0.049,0.174,3.037,3.417,0.570,6.742,3.141,0.283,0.464
2.515,1.241,0.277,2.212,0.531,0.072,0.042,0.235,2.990,3.685,0.671,6.766,3.548,0.291,0.774
2.599,1.252,0.267,2.259,0.592,0.063,0.041,0.165,2.807,3.407,0.725,5.708,3.319,0.254,0.594
2.405,1.278,0.256,2.656,0.581,0.079,0.065,0.165,3.223,3.255,0.703,4.680,3.074,0.269,0.403
2.567,1.482,0.334,2.562,0.636,0.063,0.048,0.130,3.176,3.495,0.713,5.396,3.502,0.378,0.378
2.591,1.738,0.426,2.736,0.542,0.102,0.081,0.236,2.801,3.594,0.833,5.534,3.326,0.250,0.308
2.690,1.763,0.345,3.347,0.593,0.067,0.041,0.184,2.697,3.483,0.754,5.962,3.185,0.278,0.324
2.464,1.431,0.286,2.907,0.710,0.084,0.056,0.180,3.153,3.212,0.465,7.033,3.160,0.177,0.789
2.308,1.306,0.267,2.765,0.742,0.093,0.059,0.198,2.780,3.729,0.649,7.711,3.278,0.094,0.945
2.315,1.341,0.299,2.595,0.715,0.072,0.036,0.201,2.716,3.969,0.702,8.257,2.703,0.110,0.753
2.052,1.583,0.387,3.157,1.057,0.139,0.069,0.267,2.514,4.097,0.735,9.083,2.961,0.154,0.678
2.333,1.464,0.374,2.456,0.927,0.119,0.056,0.271,2.687,3.697,0.623,8.169,3.121,0.174,0.315
2.530,1.517,0.400,2.271,0.564,0.115,0.070,0.337,2.738,3.120,0.475,7.480,3.171,0.160,0.294
2.797,1.366,0.316,2.107,0.560,0.085,0.041,0.315,2.957,3.377,0.734,5.249,3.201,0.263,0.565
2.618,1.404,0.308,2.447,0.449,0.088,0.056,0.302,3.451,3.405,0.645,5.204,3.130,0.161,0.835
2.734,1.564,0.319,2.807,0.612,0.131,0.084,0.333,2.945,3.131,0.649,5.131,2.955,0.207,1.022
2.899,1.438,0.274,2.600,0.810,0.114,0.061,0.262,2.751,3.256,0.817,4.720,3.020,0.218,1.098
2.807,1.293,0.208,2.856,0.723,0.118,0.064,0.301,2.998,3.288,0.686,5.257,3.110,0.246,0.970
2.618,1.165,0.197,2.627,0.564,0.088,0.040,0.339,2.692,3.207,0.632,6.047,2.888,0.234,0.669
2.570,1.385,0.268,2.788,0.598,0.087,0.060,0.214,3.238,3.443,0.485,7.553,3.363,0.246,0.498
2.470,1.388,0.264,2.950,0.596,0.083,0.065,0.176,2.998,3.379,0.601,6.332,3.495,0.173,0.439
2.286,1.257,0.239,2.886,0.700,0.086,0.064,0.167,3.432,2.911,0.402,6.144,3.202,0.177,0.415
2.673,1.247,0.189,3.076,0.621,0.075,0.056,0.165,3.081,3.351,0.622,5.857,3.656,0.104,0.494
2.863,0.942,0.116,2.672,0.604,0.075,0.103,0.090,3.116,2.904,0.380,7.114,3.637,0.138,0.625
2.287,1.000,0.150,2.923,0.553,0.073,0.085,0.114,2.722,2.797,0.385,7.467,3.693,0.232,1.013
2.497,1.337,0.235,3.049,0.491,0.077,0.065,0.183,3.080,3.171,0.468,6.974,3.358,0.212,0.879
2.733,1.256,0.213,2.707,0.561,0.091,0.067,0.221,3.217,2.592,0.365,5.720,3.468,0.223,0.391
